# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 18744
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 18744
DATA ascii
16.46289 3.502299 -1.96829
20.88043 3.561649 -1.976183
20.90601 3.505975 -1.977669
1.653055 3.662813 -1.902138
15.85594 3.634398 -1.902316
20.83231 3.647045 -1.973118
1.658431 3.704 -1.920962
1.973353 3.787563 -1.901494
2.029312 3.75681 -1.901087
2.567722 3.773254 -1.906412
2.627236 3.720496 -1.902448
3.1307 3.782353 -1.917269
20.75054 3.754148 -1.967358
1.847101 3.851749 -1.901901
1.940987 3.805296 -1.901901
2.470134 3.841967 -1.907844
2.519077 3.818936 -1.910927
3.049022 3.827155 -1.910773
3.115682 3.807981 -1.92127
20.66297 3.866945 -1.961228
20.59604 3.947542 -1.95649
20.54547 4.025257 -1.953239
20.44546 4.129918 -1.945993
20.36989 4.240636 -1.941163
20.27893 4.343719 -1.934846
20.19194 4.476445 -1.929551
20.23626 4.423322 -1.932524
20.15957 4.561643 -1.928344
20.08086 4.695142 -1.923978
20.10052 4.636886 -1.924535
19.98765 4.794929 -1.917661
20.0231 4.740644 -1.919705
19.94818 4.848094 -1.915246
40.54045 4.884386 -1.904238
19.87655 4.955778 -1.911159
19.92597 4.905363 -1.914503
19.78979 5.055402 -1.905585
19.83753 5.004938 -1.908744
19.73233 5.130677 -1.902148
19.69579 5.211206 -1.900755
27.70898 5.466424 -1.974945
27.85636 5.419778 -1.984432
-85.79248 7.626589 -1.999703
18.45036 -6.566192 -1.827092
18.5617 -6.511129 -1.835173
18.63735 -6.448277 -1.839911
18.72548 -6.360065 -1.84502
-0.6910876 -6.269827 -1.808732
18.79193 -6.287693 -1.848735
14.17555 -6.061011 -1.802891
14.21437 -6.030712 -1.805679
14.26749 -5.981373 -1.809163
14.31888 -5.925218 -1.812183
14.37625 -5.877063 -1.816249
14.42613 -5.825604 -1.819385
14.47908 -5.773619 -1.822869
14.52902 -5.723132 -1.826121
14.56913 -5.686127 -1.828909
14.6253 -5.634635 -1.832858
14.67664 -5.583927 -1.836343
14.73432 -5.532389 -1.840524
14.79 -5.479794 -1.844473
14.84922 -5.42522 -1.848771
14.89612 -5.374684 -1.851907
14.912 -5.330462 -1.851907
14.97334 -5.254325 -1.855701
11.73333 -5.140805 -1.800343
15.02326 -5.150925 -1.85725
11.77454 -5.075791 -1.802014
11.82026 -5.034441 -1.805632
15.08274 -5.071499 -1.86085
11.87785 -4.979566 -1.810086
11.92684 -4.915879 -1.813008
8.37907 -4.875754 -1.826525
8.434067 -4.826956 -1.830907
11.96561 -4.870899 -1.815652
12.01848 -4.832602 -1.820523
8.483105 -4.775102 -1.834117
8.524179 -4.731831 -1.836894
12.06872 -4.773455 -1.824003
12.11425 -4.728021 -1.827621
8.562292 -4.674108 -1.837943
8.619139 -4.623474 -1.842819
12.16283 -4.66642 -1.830869
12.23011 -4.614057 -1.837085
8.668145 -4.568251 -1.84609
8.716228 -4.515165 -1.849484
12.27319 -4.566787 -1.840425
12.35329 -4.532891 -1.849332
12.45524 -4.530875 -1.862693
12.57325 -4.536567 -1.878559
12.68736 -4.53524 -1.893589
7.628704 -4.424571 -1.874532
8.755336 -4.454004 -1.85078
8.855456 -4.425734 -1.865222
10.02908 -4.478841 -1.804564
10.12823 -4.467084 -1.818668
10.25372 -4.473296 -1.83796
10.37553 -4.472704 -1.85628
10.46497 -4.474486 -1.869898
10.54283 -4.472994 -1.881571
10.63713 -4.477993 -1.896162
7.670637 -4.375241 -1.877027
7.749895 -4.362347 -1.890333
7.820618 -4.327905 -1.899897
8.932198 -4.397078 -1.875776
9.020324 -4.393661 -1.890403
7.85861 -4.245141 -1.898546
7.888585 -4.171505 -1.896779
7.91559 -4.128495 -1.89761
6.856195 -4.004832 -1.881364
7.939588 -4.054181 -1.894907
-2.00348 -3.925273 -1.84078
-1.953378 -3.940055 -1.836926
-1.877828 -3.945005 -1.824978
6.876563 -3.948224 -1.878828
7.964808 -3.950768 -1.889813
9.285488 -3.908982 -1.898179
-2.000257 -3.893751 -1.828447
6.898238 -3.89648 -1.877214
6.917214 -3.840606 -1.874678
7.983805 -3.846221 -1.88368
9.294044 -3.863032 -1.896328
9.303551 -3.819459 -1.894847
6.949171 -3.753896 -1.87145
8.016994 -3.747766 -1.881081
9.31633 -3.7461 -1.891884
-1.828017 -3.621489 -1.806182
6.971274 -3.64887 -1.864395
8.047449 -3.650064 -1.878274
9.333764 -3.643464 -1.887811
-1.907432 -3.569303 -1.801843
-1.876631 -3.586605 -1.80225
6.108913 -3.519878 -1.845697
6.989244 -3.568892 -1.859461
7.009995 -3.527961 -1.859461
8.084944 -3.554113 -1.877235
9.359931 -3.54524 -1.885774
6.132074 -3.45101 -1.842066
7.0397 -3.453618 -1.857939
8.112597 -3.455741 -1.874324
9.386947 -3.445674 -1.883984
-1.850652 -3.331975 -1.804164
-1.772935 -3.376504 -1.805163
6.176425 -3.348237 -1.839213
7.076678 -3.346355 -1.854803
8.137979 -3.354677 -1.870998
9.419456 -3.351802 -1.883738
6.217314 -3.254208 -1.837086
7.11465 -3.251354 -1.853466
8.171545 -3.258894 -1.869958
9.453595 -3.25637 -1.883861
5.498145 -3.146269 -1.81645
5.507661 -3.138571 -1.817737
6.25768 -3.149371 -1.833962
7.145855 -3.153795 -1.850746
8.19648 -3.184969 -1.869126
8.213501 -3.138078 -1.868918
9.480531 -3.157893 -1.882719
38.48795 -3.191338 -1.801009
5.545012 -3.047329 -1.814324
6.288103 -3.073707 -1.832274
6.309632 -3.028491 -1.83219
7.186886 -3.049192 -1.849823
8.239309 -3.052063 -1.867629
9.513335 -3.047988 -1.882164
5.587766 -2.95546 -1.812591
5.602236 -2.91137 -1.810386
6.338525 -2.952209 -1.830502
7.220884 -2.95194 -1.848394
8.279093 -2.94603 -1.867879
9.540528 -2.950248 -1.881516
